id,name,county,state,countyFips,lat,lng,confidence,sourceDate,agencyType,address,city,subStation,jurisdictionId,jurisdictionName
agency-building-new-hope-police-4401-xylon-avenue-north,New Hope Police,Hennepin County,MN,27053,45.0356818998844,-93.3857042995758,confirmed,,Police,4401 XYLON AVENUE NORTH,NEW HOPE,,agency-jurisdiction-new-hope-police,New Hope Police
agency-building-eden-prairie-police-8080-mitchell-road,Eden Prairie Police,Hennepin County,MN,27053,44.8563252004142,-93.4619008006518,confirmed,,Police,8080 MITCHELL ROAD,EDEN PRAIRIE,,agency-jurisdiction-eden-prairie-police,Eden Prairie Police
agency-building-golden-valley-police-7800-golden-valley-road,Golden Valley Police,Hennepin County,MN,27053,44.98630979927,-93.3782781004969,confirmed,,Police,7800 GOLDEN VALLEY ROAD,GOLDEN VALLEY,,agency-jurisdiction-golden-valley-police,Golden Valley Police
agency-building-west-hennepin-public-safety-1918-county-road-90,West Hennepin Police,Hennepin County,MN,27053,45.0126423996412,-93.6858707992776,confirmed,,Police,1918 COUNTY ROAD 90,MAPLE PLAIN,,agency-jurisdiction-west-hennepin-police,West Hennepin Police
agency-building-hopkins-police-1010-1st-street-south,Hopkins Police,Hennepin County,MN,27053,44.9221299004247,-93.413451499801,confirmed,,Police,1010 1ST STREET SOUTH,HOPKINS,,agency-jurisdiction-hopkins-police,Hopkins Police
agency-building-plymouth-police-3400-plymouth-boulevard,Plymouth Police,Hennepin County,MN,27053,45.0194595621626,-93.474858243142,confirmed,,Police,3400 PLYMOUTH BOULEVARD,PLYMOUTH,,agency-jurisdiction-plymouth-police,Plymouth Police
agency-building-south-lake-minnetonka-police-24150-smithtown-road,South Lake Minnetonka Police,Hennepin County,MN,27053,44.9022241001125,-93.5860668995218,confirmed,,Police,24150 SMITHTOWN ROAD,SHOREWOOD,,agency-jurisdiction-south-lake-minnetonka-police,South Lake Minnetonka Police
agency-building-hennepin-county-sheriff-350-south-5th-street-room-6,Hennepin County Sheriff,Hennepin County,MN,27053,44.977299600171,-93.265357299203,confirmed,,Sheriff,"350 SOUTH 5TH STREET, ROOM 6",MINNEAPOLIS,,agency-jurisdiction-hennepin-county-sheriff,Hennepin County Sheriff
agency-building-minneapolis-police-precinct-3-3000-minnehaha-avenue,Minneapolis Police — Precinct 3,Hennepin County,MN,27053,44.9481207002651,-93.2347969006982,confirmed,,Police,3000 MINNEHAHA AVENUE,MINNEAPOLIS,Precinct 3,agency-jurisdiction-minneapolis-police,Minneapolis Police
agency-building-minnesota-department-of-public-safety-minnesota-state-police-2005-north-lilac-drive,Minnesota Department Of Public Safety - Minnesota State Police,Hennepin County,MN,27053,44.9996024995584,-93.3516681997608,confirmed,,Police,2005 NORTH LILAC DRIVE,GOLDEN VALLEY,,,
agency-building-minneapolis-police-precinct-2-1911-central-avenue-northeast,Minneapolis Police — Precinct 2,Hennepin County,MN,27053,45.0081572996399,-93.2466243002903,confirmed,,Police,1911 CENTRAL AVENUE NORTHEAST,MINNEAPOLIS,Precinct 2,agency-jurisdiction-minneapolis-police,Minneapolis Police
agency-building-minneapolis-police-precinct-5-3101-nicollet-avenue-south,Minneapolis Police — Precinct 5,Hennepin County,MN,27053,44.9462054995153,-93.2776306000443,confirmed,,Police,3101 NICOLLET AVENUE SOUTH,MINNEAPOLIS,Precinct 5,agency-jurisdiction-minneapolis-police,Minneapolis Police
agency-building-minneapolis-police-precinct-1-19-north-4th-street,Minneapolis Police — Precinct 1,Hennepin County,MN,27053,44.9807593000491,-93.2723415002127,confirmed,,Police,19 NORTH 4TH STREET,MINNEAPOLIS,Precinct 1,agency-jurisdiction-minneapolis-police,Minneapolis Police
